Avg_AirTemp_Annual,year,meter,site_id,region,country,yearbuilt,primaryspaceusage,total_meter_reading,eui,log_eui
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1933,Entertainment/public assembly,3020395.6793,136.5644381832979,4.924092448661648
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1933,Entertainment/public assembly,4115350.2023,186.0718091196817,5.23149254913076
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1958,Entertainment/public assembly,386820.7295,138.05165221270522,4.9348454627575675
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1958,Entertainment/public assembly,365230.0555,130.34620110635262,4.877836593797449
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,2016,Entertainment/public assembly,561282.4361,73.08079581526763,4.305156332926924
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,2016,Entertainment/public assembly,1396628.9285,181.8456217205057,5.20864219965739
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1995,Entertainment/public assembly,5683.6763,46.89501897689769,3.8690115110535404
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1995,Entertainment/public assembly,7407.7914,61.12039108910891,4.129074293964289
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1923,Entertainment/public assembly,2267334.973,93.4748361443101,4.548333514852573
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1923,Entertainment/public assembly,2269609.5224,93.56860840778197,4.549325585975536
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1932,Entertainment/public assembly,52051.444,9.443980695260905,2.346025802430435
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1932,Entertainment/public assembly,150224.8412,27.256121852093763,3.341310136844788
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1966,Entertainment/public assembly,2271728.6505,675.8683358621921,6.517476772258504
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1966,Entertainment/public assembly,2229522.3279,663.3114149410925,6.498751037936317
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1903,Entertainment/public assembly,139074.8681,125.68899060099412,4.841735190110393
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1903,Entertainment/public assembly,132557.8015,119.7991879801175,4.794129563459227
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1927,Entertainment/public assembly,600731.0859,52.06408967525545,3.9715004221670904
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1927,Entertainment/public assembly,612869.4667,53.116097406030356,3.9911316906883143
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1909,Education,1619.4236,2.655663496228272,1.296277607842769
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1909,Education,1548.5881,2.539501639881929,1.2639859375409215
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1994,Education,3816747.849,374.8856065651059,5.929284859241407
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1994,Education,3517265.454,345.47008221115595,5.847796472077255
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1957,Education,4607.7108,24.679757900374934,3.2457030512218275
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1957,Education,4620.1103,24.74617193358329,3.248285953284875
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1959,Education,1002168.5462,71.49205988058125,4.283477036974463
14.965894,2017,electricity,Bear,"Berkeley, California",United States of America,1959,Education,1014236.3045,72.35294191712025,4.295282611720888
15.237956,2016,electricity,Bear,"Berkeley, California",United States of America,1911,Education,192148.2522,94.58907758196317,4.560058562295491
